artist_date_extract,artist_id,artist_name,genres,artist_followers,artist_popularity,artist_image,evolution_followers,evolution_popularity,liste_evol_followers,liste_evol_popularity
2020-11-29,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",172952,70,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,0.29,0.0,"[172952, 172450, 172568, 172669, 172760, 172855]","[70, 70, 70, 70, 70, 70]"
2020-12-08,6BF0bXbsdujMSMeFZBGcBq,Thomas Bergersen,"epicore, soundtrack, video game music",174323,68,https://i.scdn.co/image/821040496f31cebb75daec6bedc2c5fd9020b259,1.09,-2.86,"[174323, 172450, 172568, 172669, 172760, 172855, 172952]","[68, 70, 70, 70, 70, 70, 70]"
2020-11-24,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",169868,71,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,0.0,0.0,[169868],[71]
2020-11-25,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",171151,71,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,0.76,0.0,"[171151, 169868]","[71, 71]"
2020-11-26,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",173002,71,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,1.84,0.0,"[173002, 169868, 171151]","[71, 71, 71]"
2020-11-27,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",174727,71,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,2.86,0.0,"[174727, 169868, 171151, 173002]","[71, 71, 71, 71]"
2020-11-28,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",176367,71,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,3.83,0.0,"[176367, 169868, 171151, 173002, 174727]","[71, 71, 71, 71, 71]"
2020-11-29,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",176989,71,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,4.19,0.0,"[176989, 169868, 171151, 173002, 174727, 176367]","[71, 71, 71, 71, 71, 71]"
2020-12-08,6BH1xcDkwbbyrLMUKECsW1,Toosii,"north carolina hip hop, pop r&b",186153,68,https://i.scdn.co/image/43dac909280c4da055d271ab968ea49b1060c11e,9.59,-4.23,"[186153, 169868, 171151, 173002, 174727, 176367, 176989]","[68, 71, 71, 71, 71, 71, 71]"
2020-12-08,6CGGvCBHWqQ4HXtn5aLhbh,Soobin Hoang Son,v-pop,445550,51,https://i.scdn.co/image/645724516f42162fd5cb587f5eee91795a2f0ab7,0.0,0.0,[445550],[51]
2020-11-24,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",43475,57,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,0.0,0.0,[43475],[57]
2020-11-25,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",43504,57,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,0.07,0.0,"[43504, 43475]","[57, 57]"
2020-11-26,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",43532,57,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,0.13,0.0,"[43532, 43475, 43504]","[57, 57, 57]"
2020-11-27,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",43568,57,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,0.21,0.0,"[43568, 43475, 43504, 43532]","[57, 57, 57, 57]"
2020-11-28,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",43592,57,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,0.27,0.0,"[43592, 43475, 43504, 43532, 43568]","[57, 57, 57, 57, 57]"
2020-11-29,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",43622,57,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,0.34,0.0,"[43622, 43475, 43504, 43532, 43568, 43592]","[57, 57, 57, 57, 57, 57]"
2020-12-08,6CQGrt3AJ2gx5oMSR0mwbl,1K Phew,"christian hip hop, christian trap",44027,55,https://i.scdn.co/image/8d7da10b976985f1b62eefb28e01c5f9dcbcb4e1,1.27,-3.51,"[44027, 43475, 43504, 43532, 43568, 43592, 43622]","[55, 57, 57, 57, 57, 57, 57]"
2020-12-08,6CTStccOisUTgXVrtCIANm,Ricky Desktop,viral rap,42162,64,https://i.scdn.co/image/e9aefcad890fc078dc9da9f8cdabe0b8e5d41565,0.0,0.0,[42162],[64]
2020-12-08,6CY7WNJfd5uZclcS3WeEjx,Yu-Peng Chen,,7082,64,https://i.scdn.co/image/ab67616d0000b273ae37e6f73804085bf53b23c7,0.0,0.0,[7082],[64]
2020-12-08,6CmXhyslohOFRJMtPpRm4O,Ron Pope,"acoustic pop, neo mellow, piano rock, pop rock, viral pop",245303,61,https://i.scdn.co/image/9d796752b3351308f744e0094dc47b046b3f2945,0.0,0.0,[245303],[61]
2020-12-08,6CmqqrHpewpd352ydgFMSK,Escape Sounds,,4,4,https://i.scdn.co/image/62d4ddc133d5330419def446c37839cadbc5bad2,0.0,0.0,[4],[4]
2020-11-24,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57632,59,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.0,0.0,[57632],[59]
2020-11-25,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57651,59,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.03,0.0,"[57651, 57632]","[59, 59]"
2020-11-26,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57681,59,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.09,0.0,"[57681, 57632, 57651]","[59, 59, 59]"
2020-11-27,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57703,59,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.12,0.0,"[57703, 57632, 57651, 57681]","[59, 59, 59, 59]"
2020-11-28,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57722,59,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.16,0.0,"[57722, 57632, 57651, 57681, 57703]","[59, 59, 59, 59, 59]"
2020-11-29,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57739,59,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.19,0.0,"[57739, 57632, 57651, 57681, 57703, 57722]","[59, 59, 59, 59, 59, 59]"
2020-12-08,6DAX5iORnv8nsZYYeZqket,Andrew Jannakos,,57983,57,https://i.scdn.co/image/3bb91a8d97d81c664db839e59bf7f72a850b5542,0.61,-3.39,"[57983, 57632, 57651, 57681, 57703, 57722, 57739]","[57, 59, 59, 59, 59, 59, 59]"
2020-12-08,6DJEUXZm0e2rAohdoZ5Voo,Black Thought,"alternative hip hop, east coast hip hop, hardcore hip hop, hip hop, southern hip hop",121385,62,https://i.scdn.co/image/4b2c9c43521efb5f2aaee26cd885d518924cf211,0.0,0.0,[121385],[62]
2020-11-24,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap, pop rap",346643,69,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,0.0,0.0,[346643],[69]
2020-11-25,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap, pop rap",347243,69,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,0.17,0.0,"[347243, 346643]","[69, 69]"
2020-11-26,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap, pop rap",347820,69,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,0.34,0.0,"[347820, 346643, 347243]","[69, 69, 69]"
2020-11-27,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap",348402,69,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,0.51,0.0,"[348402, 346643, 347243, 347820]","[69, 69, 69, 69]"
2020-11-28,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap",348955,69,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,0.67,0.0,"[348955, 346643, 347243, 347820, 348402]","[69, 69, 69, 69, 69]"
2020-11-29,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap",349458,69,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,0.81,0.0,"[349458, 346643, 347243, 347820, 348402, 348955]","[69, 69, 69, 69, 69, 69]"
2020-12-08,6DvlemMOlMH6VD9tB7BPRf,Tom MacDonald,"bc underground hip hop, country rap",356550,67,https://i.scdn.co/image/586f208673c35f9643d52022a6b9e73fa4bae79d,2.86,-2.9,"[356550, 346643, 347243, 347820, 348402, 348955, 349458]","[67, 69, 69, 69, 69, 69, 69]"
2020-11-24,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,771,56,https://i.scdn.co/image/ab67616d0000b2735036d9f5af73f8dc6b275222,0.0,0.0,[771],[56]
2020-11-25,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,773,56,https://i.scdn.co/image/ab67616d0000b2735036d9f5af73f8dc6b275222,0.26,0.0,"[773, 771]","[56, 56]"
2020-11-26,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,773,56,https://i.scdn.co/image/ab67616d0000b2735036d9f5af73f8dc6b275222,0.26,0.0,"[773, 771, 773]","[56, 56, 56]"
2020-11-27,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,775,56,https://i.scdn.co/image/ab67616d0000b273f850e4bb58f520ada8c34c16,0.52,0.0,"[775, 771, 773, 773]","[56, 56, 56, 56]"
2020-11-28,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,776,56,https://i.scdn.co/image/ab67616d0000b273f850e4bb58f520ada8c34c16,0.65,0.0,"[776, 771, 773, 773, 775]","[56, 56, 56, 56, 56]"
2020-11-29,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,777,56,https://i.scdn.co/image/ab67616d0000b273f850e4bb58f520ada8c34c16,0.78,0.0,"[777, 771, 773, 773, 775, 776]","[56, 56, 56, 56, 56, 56]"
2020-12-08,6EAXjip845wircvDzEImru,4D Nature Recordings,environmental,793,53,https://i.scdn.co/image/ab67616d0000b273f850e4bb58f520ada8c34c16,2.85,-5.36,"[793, 771, 773, 773, 775, 776, 777]","[53, 56, 56, 56, 56, 56, 56]"
2020-11-24,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",479975,64,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,0.0,0.0,[479975],[64]
2020-11-25,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",480297,64,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,0.07,0.0,"[480297, 479975]","[64, 64]"
2020-11-26,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",480610,64,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,0.13,0.0,"[480610, 479975, 480297]","[64, 64, 64]"
2020-11-27,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",480958,64,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,0.2,0.0,"[480958, 479975, 480297, 480610]","[64, 64, 64, 64]"
2020-11-28,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",481252,64,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,0.27,0.0,"[481252, 479975, 480297, 480610, 480958]","[64, 64, 64, 64, 64]"
2020-11-29,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",481513,64,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,0.32,0.0,"[481513, 479975, 480297, 480610, 480958, 481252]","[64, 64, 64, 64, 64, 64]"
2020-12-08,6FbDoZnMBTdhhhLuJBOOqP,Jewel,"alaska indie, lilith, permanent wave, pop rock, singer-songwriter",484797,62,https://i.scdn.co/image/fc79df6d69c24903cb387fa8ae8aa032ee12f1ba,1.0,-3.12,"[484797, 479975, 480297, 480610, 480958, 481252, 481513]","[62, 64, 64, 64, 64, 64, 64]"
